Location,Coordinates
Yamen,"(16.3471243, 47.8915271)"
Whitehorse,"(60.721571, -135.054932)"
Mato Grosso,"(-12.2115009, -55.5716547)"
Porto Velho,"(-8.7494525, -63.8735438)"
Wroclaw,"(51.1089776, 17.0326689)"
Bacolod,"(10.6762836, 122.9513786)"
Gore,"(-46.0984482, 168.9447811)"
Qu?ng Ngãi,"(22.2759854, 114.1722574)"
Coca,"(41.2176667, -4.5228361)"
Pastaza,"(-1.916667, -77.0)"
"Fort de France, Martinque","(48.8311547, 2.7387326)"
"Saint Johns, Antigua","(17.1184569, -61.8448509)"
Rawalpindi,"(33.5914237, 73.0535122)"
Skardu,"(35.2863724, 75.6400746)"
Tacloban,"(11.2436208, 125.0079543)"
Edinburgh,"(55.9533456, -3.1883749)"
Djibouti,"(11.8145966, 42.8453061)"
Obock,"(11.9640149, 43.292228)"
Howard,"(32.3047833, -101.4271085)"
Neiva,"(2.9257038, -75.2893937)"
San Vicente del Caguan,"(2.1131213, -74.7697347)"
Clevland,"(32.9405933, -87.1355088)"
SF,"(37.7792588, -122.4193286)"
Pleiku,"(13.9715982, 108.0143597)"
Tuy Hoa,"(13.0877226, 109.2993584)"
Legazpi,"(13.1388596, 123.7343104)"
Medan,"(3.5896654, 98.6738261)"
Nurata,"(40.5627799, 65.6903621)"
Samarkand,"(39.6550017, 66.9756954)"
Bogata,"(46.4564083, 24.1196172)"
Crespo,"(-32.0307826, -60.3062469)"
GS Johnson AFB NC,"(35.3451315, -77.9559553)"
Soviet Border,"(55.7448221, 27.9263717)"
GS Johnson AFB,"(38.7299184, -93.5613436)"
Les Cayes,"(18.1944428, -73.7511601)"
Jérémie,"(18.6445835, -74.1139182)"
Bremen,"(53.0758196, 8.8071646)"
Dacca (Dhaka),"(23.7643863, 90.3890144)"
Faridpur,"(28.2083265, 79.5375964)"
Srinngar,
Jammu,"(32.7185614, 74.8580917)"
Vorkuta,"(67.5035662, 64.0627028)"
CCCP,"(49.5898385, 4.6560933)"
76491,"(48.9481879, 24.751165)"
Ardmore,"(34.1729273, -97.1309119)"
"Makhachkala, Russia","(42.9830241, 47.5048717)"
Kuujjuaq,"(58.1066864, -68.4038778)"
Fort Chimo Airport,"(67.6979736, -107.9190709)"
Mamburao,"(13.2248292, 120.5960338)"
Riberalta,"(-10.997342, -66.0751504)"
Bra?ov,"(52.7908685, 6.0996977)"
Rio Gallegos,"(-51.6268852, -69.105804)"
Luton,"(51.891073, -0.4230304)"
Mount Isa,"(-20.7289898, 139.4931522)"
Eugene,"(44.0505054, -123.0950506)"
Hammond,"(41.6173959, -87.5220108)"
An Khe,"(25.1424227, 117.905457)"
Matsuyama,"(33.8395188, 132.7653521)"
New Bern,"(35.1084931, -77.0441143)"
"Maifa'a 
Mayfa'ah","(14.2285981, 47.6404896)"
"Arden, Yemen",
Praha,"(50.0874654, 14.4212535)"
Korat AB,"(59.3046826, 18.1229239)"
Leticia,"(-4.2129211, -69.9425963)"
Menado via Surabaya,"(45.5594347, 9.3053081)"
Mactan,"(10.2882756, 123.9723977)"
Colombus,"(51.3086266, 3.1449052)"
Dayton,"(39.7589478, -84.1916069)"
Klamath Falls,"(42.224867, -121.78167)"
Medford,"(42.4184296, -71.1061639)"
North Bend,"(47.4957757, -121.784889)"
Cam Ranh Bay AB,"(12.0092554, 109.2135342)"
Venezia,"(45.4371908, 12.3345898)"
Belluno,"(46.2805407, 12.0789137)"
Olyokminsk,"(60.3729364, 120.403496)"
East London,"(-33.0191604, 27.8998573)"
New Orleans AP,"(29.9759983, -90.0782127)"
Daegu,"(35.8713, 128.6018)"
Tamanrasset,"(24.3753438, 4.3208436)"
Shiraz,"(29.6060218, 52.5378041)"
TerhanI,"(42.421033, 21.0982043)"
Sogamoso,"(5.7148307, -72.9279328)"
Hall Beach,"(68.7927301, -81.2439606)"
Cape Dyer,"(66.666667, -61.366667)"
Training,"(-1.6241317, 37.4928401)"
Manston,"(51.3459955, 1.3696746)"
Madinah,"(24.471153, 39.6111216)"
Cachimbo,"(-14.6037057, 17.6975081)"
Tan Son Nhut,"(10.8179793, 106.6562645)"
Elmira,"(42.0897965, -76.8077338)"
Nejran,"(17.6115904, 44.419418)"
Ashville,"(33.8369216, -86.2549799)"
Roanoke,"(37.270973, -79.9414313)"
Asheville,"(35.595363, -82.5508407)"
Wakeman,"(41.2545874, -82.3996588)"
"Wakeman, Ohio","(41.2545874, -82.3996588)"
Grand Cayman Islands,"(19.3298471, -81.1712216)"
Phan Rang,"(11.5769829, 108.9865391)"
Tashken,
"Cleveland, OH","(41.4996574, -81.6936772)"
Madison WI,"(43.074761, -89.3837613)"
"Scottsbluff, NE","(41.862302, -103.6627088)"
Chiang Mai,"(18.7882778, 98.9858802)"
Liepaja,"(56.5048435, 21.0070903)"
Olekminsk,"(60.3729364, 120.403496)"
Lensk,"(60.7145488, 114.9172123)"
Buckley ANGB,"(39.7078055, -104.758286)"
Seattle NAS,
Moroni,"(-11.6931255, 43.2543044)"
"Leh, Kashmir","(34.1634271, 77.5843437)"
"Chandigarh, Punjab","(30.7573002, 76.8067372)"
Sayaboury,"(19.2494811, 101.7228286)"
Khe Sanh,"(16.6295919, 106.7376807)"
Pointe a Pitre,"(16.2408636, -61.5334077)"
Lapu Lapu,"(10.3126722, 123.9488177)"
Saint Denis,"(48.935773, 2.3580232)"
Cork,"(51.8985136, -8.4726423)"
"Peoria, IL","(40.6938609, -89.5891008)"
Aguascalientes,"(21.880487, -102.2967195)"
Fort Worth,"(32.753177, -97.3327459)"
Kham Duc,"(49.7925882, 9.9242585)"
Anaheim,"(33.8347516, -117.911732)"
LAX,"(46.3888757, 8.1195682)"
"Deauville, France","(49.36, 0.0752778)"
Maturín,"(9.7422774, -63.1888854)"
Tucupita,"(9.0660268, -62.0542973)"
Burgas,"(42.5040226, 27.3549696)"
Riviere St,"(45.4746154, -63.6033762)"
Paul,"(50.0896383, -5.5464449)"
Lourdes,"(43.0940904, -0.0464975)"
Blanc,"(44.8846519, 7.2338696)"
Sablon,"(50.8405519, 4.355722)"
Farnborough,"(51.2918693, -0.7539836)"
Port Harcourt,"(4.7676576, 7.0188527)"
San José,"(9.9325427, -84.0795782)"
Paso Canoas,"(8.5351168, -82.843448)"
"Montpelier, VT","(44.2602244, -72.5750364)"
"Lebanon, NH","(43.643032, -72.251587)"
Santa Ana,"(33.7494951, -117.873221)"
Savannakhét,"(16.5001958, 105.7155946)"
Iliamna,"(59.800471, -154.8815249)"
Charlotte Amalie,"(18.3414575, -64.9335173)"
Erie,"(42.1294712, -80.0852695)"
Bradford,"(53.7944229, -1.7519186)"
Prudhoe Bay,"(70.326677, -148.9432527)"
"Cam Ranh Bay, Vietnam","(11.9001835, 109.1806291)"
Guerrero Negro,"(27.9709506, -114.036389)"
Milwaukee,"(43.0386475, -87.9090751)"
Reynosa,"(26.0907673, -98.2788191)"
Kaohsiung,"(22.6203348, 120.3120375)"
Hualien,"(23.9913421, 121.6197276)"
Harrisburgh,"(38.8726747, -104.7028482)"
da Nang,"(16.068, 108.212)"
"Hawthorne, NV","(38.5254055, -118.6269489)"
Saint Thomas,"(49.4972, 3.82019)"
"Halifax, NS","(44.648618, -63.5859487)"
"Santa Maria, Portugal","(-34.975456, -71.2243995)"
Bethel,"(60.7922222, -161.755833)"
Minchumina,"(63.816697, -152.3729903)"
Cracow,"(50.0469432, 19.9971534)"
Atsuji,
Kinshasa,"(-4.3196982, 15.3424196)"
Kananga,"(-5.8951725, 22.408589)"
Mbuji,"(-4.45, 39.1)"
Mayi,"(25.5758199, 104.7782662)"
"Silchar, India","(24.830302, 92.7875689)"
"Khulna, Bangladesh","(22.9372087, 89.2852741)"
"Medford, NJ","(39.9009472, -74.8234961)"
"Allentown, PA","(40.6022059, -75.4712794)"
Reggio di Calabria,"(38.1035389, 15.6397556)"
"Shemya, AK","(52.7227455, 174.1003202)"
"Eielson, AK","(64.6629132, -147.0679879)"
Chernihiv,"(51.272593, 31.7417235)"
"Talas, Kyrgyzstan","(42.4406777, 72.1408556)"
"Frunze, Russia","(63.0753519, 129.7303647)"
"Sumpter, SC","(34.1849166, -82.1591433)"
"Greer, SC","(34.9381361, -82.2272119)"
Simra,"(24.9133363, 80.2198436)"
Kalaupapa,"(21.1902316, -156.9827646)"
Lihue,"(21.9769622, -159.3687721)"
Hassi Messaoud,"(31.6957444, 6.0604297)"
Dnepropetrovsk,"(48.4680221, 35.0417711)"
Vinnitsa,"(49.2392809, 28.5110617)"
"Long Tieng, Laos","(19.1118998, 102.9181991)"
"Sam Thong, Laos","(20.412521, 104.0482797)"
Noril'sk,"(69.3444054, 88.2096151)"
Kyzyl,"(51.719079, 94.4300679)"
Khovu,"(51.131943, 93.715744)"
Aksy,"(41.2063172, 70.2081953)"
Des Moines.,"(41.5868654, -93.6249494)"
Anadyr,"(64.7316875, 177.5060925)"
Cross Bay,"(32.248824, -64.8299437)"
Savannakhet,"(16.5001958, 105.7155946)"
Indianapolis,"(39.7683331, -86.1583502)"
Bakalar AFB,
Manilla,"(14.5904492, 120.9803621)"
Camp Grande,"(41.7969263, -1.4530271)"
Londrina,"(-23.3112878, -51.1595023)"
Sao Palo,"(-23.5506507, -46.6333824)"
Campbell River,"(50.023071, -125.244153)"
São Tomé,"(0.3389242, 6.7313031)"
Uli,"(10.0207009, 139.788892)"
Subi Point,
USS Constellation,"(39.2851107, -76.6117824)"
Surgut,"(61.254032, 73.3964)"
Nizhnevartovsk,"(60.9339411, 76.5814274)"
Winisk,"(55.2522641, -85.2119827)"
Timmins,"(48.477473, -81.330414)"
Amderma,"(69.7609506, 61.6580524)"
Glenn Falls,"(34.9881812, -85.336865)"
"Pointe a Pitre, Guadeloupe","(16.2408636, -61.5334077)"
Khatanga,"(72.5720585, 104.2904408)"
Chania,"(35.5120831, 24.0191544)"
Makhachkala,"(42.9830241, 47.5048717)"
Astrakhan,"(46.3498308, 48.0326203)"
Nha Trang,"(12.2431693, 109.1898675)"
"Apia, Western Samoa","(-13.8345235, -171.7630955)"
Trujillo,"(-8.1116778, -79.0287742)"
Juanjui,"(-7.2720033, -76.7508655)"
Poza Rica,"(20.5320852, -97.4536355)"
Chokurdakh,"(70.6188643, 147.9009497)"
Batagay,"(67.654907, 134.635071)"
Oradea,"(47.0549163, 21.9285231)"
"Groton, CT","(41.3501598, -72.0761998)"
Puerto Inírida,"(3.8658312, -67.932779)"
Santo Domingo,"(18.4801972, -69.942111)"
St. Moritz,"(46.4978958, 9.8392428)"
Reclife,
Taiwan,"(23.5983227, 120.8353769)"
Grand Canyon,"(36.0980405, -112.0962787)"
Novosibirs,
Zaporozhye,"(47.8507859, 35.1182867)"
Cuayan,"(15.149137, 120.5458117)"
Rivolto,"(45.9537388, 13.0205074)"
Grazzanise,"(41.089413, 14.100324)"
Goroka,"(-6.0730028, 145.3932891)"
Kainantu,"(-6.2907745, 145.8678771)"
St. Maarten,"(18.0423736, -63.0549948)"
Pellston,"(45.552789, -84.783936)"
"Chamblee, GA","(33.892176, -84.2988296)"
"Fort Myers,FL","(26.640628, -81.8723084)"
McGrath AK,"(62.9563889, -155.595833)"
"Galena, AK","(64.7335531, -156.9316199)"
Nellis,"(36.2400348, -115.0210494)"
North Island,"(-38.0035304, 175.957821)"
Barbers Point,"(43.7310618, -110.010178)"
Lahore,"(31.5656822, 74.3141829)"
Hwa,"(19.9781573, 105.4816107)"
Lien,"(51.1638175, 10.4478313)"
Gauhati,"(26.1805978, 91.753943)"
Vilnius,"(54.6870458, 25.2829111)"
"Frunze, Kyrgyzstan","(42.8839461, 74.5803166)"
"Leninabad, Tajikistan","(40.2844189, 69.6191669)"
"Jamaica, NY","(40.6987631, -73.8088251)"
Vágar,"(62.0898985, -7.2345841)"
"Logan, Utah","(41.7313063, -111.834914)"
Ching Chuan Kang,"(46.832831, 126.477679)"
"Dubois, PA","(41.118651, -78.7622342)"
"Roanoak, VA","(34.0497212, -117.9095067)"
"Orapa Mine, Botswana","(-21.3082152, 25.3693968)"
"Dayton, OH","(39.7589478, -84.1916069)"
"Ft. Dix, NJ","(40.0105355, -74.6247972)"
"Kingston, NC","(35.9587941, -78.5434024)"
"Huntington, WV","(38.4192496, -82.445154)"
Nha Trang AB,"(51.1670605, -114.0895628)"
Yokota AFB,
Jaipur,"(26.9154576, 75.8189817)"
St. Thomas,"(18.3429081, -64.9188997)"
Mahón,"(39.8894922, 4.2662071)"
Menorca,"(39.9492572, 4.0499642)"
Erevan,"(40.1777112, 44.5126233)"
"San Francisco, CA","(37.7792588, -122.4193286)"
Mazamari,"(-11.3288086, -74.5306852)"
Orange,"(33.750631, -117.8722311)"
Kangnung,"(37.7761407, 128.9011881)"
Ontairo,"(4.5781763, -74.1422368)"
Lugansk,"(48.5717084, 39.2973153)"
Nichols AFB,
"Manchester, NH","(42.9956397, -71.4547891)"
"Boston, MS","(42.3554334, -71.060511)"
Tikal,"(16.9131737, -89.9296189)"
Rijeka,"(45.3267976, 14.442208)"
"Martinsville, VA","(36.6915262, -79.8725386)"
"Newport News, VA","(36.9775016, -76.42977)"
Hickam AFB,"(21.3276152, -157.9528703)"
Pango Pango,"(-7.850985, -78.5535262)"
"Shelter Cove, CA","(40.0304212, -124.0730866)"
Sapporo,"(43.061936, 141.3542924)"
Hakodate,"(41.768793, 140.729008)"
Ludwigsburg,"(48.8953937, 9.1895147)"
Grafenwohr,"(49.7209693, 11.9018013)"
"Rockville, ME diverted to  Augusta ME","(44.3124725, -69.7757278)"
"East Berlin, German","(52.5050831, 13.4412569)"
"Malaga, Spain","(36.7213028, -4.4216366)"
Kardjali,"(41.643746, 25.3722156)"
Cruzerio do Sul,"(40.8357637, -8.0423237)"
Rio Branco,"(-9.9765362, -67.8220778)"
San Vicente del Caguán,"(2.1131213, -74.7697347)"
San Giusto,"(45.6470741, 13.773402)"
Sardinia,"(40.0912813, 9.0305773)"
Padang,"(-0.9247587, 100.3632561)"
Kuala Lumpur,"(3.1526589, 101.7022205)"
Camp Eagle,"(27.5141676, -82.3802672)"
Ufa,"(52.3870936, 13.1228148)"
Saratov,"(51.530018, 46.034683)"
Malakal,"(9.5388487, 31.6584168)"
Madurai,"(9.9261153, 78.1140983)"
Sofia IAP,
Chetumel,
Quibdó,"(5.6923407, -76.6583801)"
Bahía Solano,"(6.2245644, -77.4034389)"
Ban Xon,"(17.488114, 105.482882)"
Pha Khao,"(17.0526226, 102.0160409)"
Valledupar,"(10.3431115, -73.3757934)"
Colombo,"(6.9388614, 79.8542005)"
Dubai,"(25.0742823, 55.1885387)"
Foggia,"(41.5028105, 15.4528939)"
"Moung Cha, Laos","(-3.4400953, 114.8285232)"
Bratsk,"(56.1517085, 101.6334907)"
Palermo,"(38.1112268, 13.3524434)"
Ciudad Bolívar,"(8.1028532, -63.5469562)"
Cuchivero,"(7.5216636, -65.8501976)"
Bien Hoa,"(10.9509538, 106.8226134)"
Vung Tau,"(10.3486485, 107.0765028)"
Kaliningrad,"(54.7046485, 20.4565666)"
:	Kharkov,"(49.9923181, 36.2310146)"
Lubango,"(-14.9195617, 13.4897509)"
Helgoland,"(54.1820608, 7.8876314)"
Wangerooge,"(53.7891528, 7.9016018)"
Cruzeiro do Sul,"(-29.5139742, -51.9917068)"
"Dulac, LA","(29.3626635, -90.7045493)"
Gulf oil platform,"(33.6618192, -118.0618843)"
Buôn Ma Thuot,"(12.6796827, 108.0447368)"
Ponce,"(18.0668224, -66.6140412)"
"Appleton, WI","(44.2613967, -88.4069744)"
"Sheboygan, WI","(43.7128967, -87.9370433)"
Las Palmas,"(27.9580004, -15.6062305)"
Hamberg,"(47.7630597, -99.51457)"
Bardufoss,"(69.065637, 18.5159237)"
Bodoe,"(33.8959443, 35.4822176)"
Gwalior,"(26.2037247, 78.1573628)"
Birgas,"(56.7971633, 14.5468718)"
Sandoway,"(18.4664443, 94.3668616)"
Canaima,"(10.5944288, -66.9730425)"
C iudad,
Axum,"(14.1220982, 38.7321749)"
Gondar,"(12.610368, 37.466766)"
Panchkhal,"(27.637863, 85.649948)"
Tribuvan,
"Anchorage, AK","(61.2163129, -149.894852)"
"Juneau, AK","(58.3019496, -134.419734)"
Kerkira,"(-26.1040552, 28.0690427)"
Lenakel,"(-19.5315762, 169.2677639)"
Port Vila,"(-17.7414972, 168.3150163)"
Bari,"(41.1257843, 16.8620293)"
"Hopkinsville, KY","(36.8657651, -87.4889532)"
"Lexington, KY","(38.0464066, -84.4970393)"
Guadeloupe,"(16.2528827, -61.5686855)"
Alesund,"(62.4802363, 6.5550739)"
Perm,"(58.014965, 56.246723)"
Oil platform,"(33.6618192, -118.0618843)"
"Morgan City, LA","(29.6993748, -91.20677)"
Changuinola,"(9.399272, -82.4936185)"
Dushanbe,"(38.5762709, 68.7863573)"
Leninabad,"(40.2844189, 69.6191669)"
Ban Me,"(18.5726764, 105.0065037)"
Bamiyan,"(34.75, 67.25)"
Svay Rieng,"(11.1950081, 105.7967967)"
Phnom Penh,"(11.5730391, 104.857807)"
Sao Luis,"(-2.5295265, -44.2963942)"
Shakhtyorsk,"(49.1592435, 142.1070013)"
de Janerio,"(36.790305, -75.97817)"
"Auckland, NZ","(-36.852095, 174.7631803)"
"Papeete, Tahiti","(-17.5366464, -149.5561694)"
"Marion, IL","(38.6477381, -88.9232112)"
"Burlilngton, VT",
La Coruña,"(43.3709703, -8.3959425)"
Port Au Prince,"(18.547327, -72.3395928)"
Cap Haitien,"(19.7595236, -72.2008068)"
Aktau,"(43.6353364, 51.168222)"
El Yopal,"(5.3356662, -72.3936931)"
Yokota,"(-5.5200424, 143.807414)"
"Natchitoches, La","(31.7606732, -93.0860209)"
El Dorado,"(38.7574137, -120.5276129)"
Texarkana,"(33.4466745, -94.0771483)"
Itaituba,"(-4.2625218, -55.9878139)"
Jacareacanga,"(-6.2196518, -57.758625)"
Arauca,"(6.6666755, -71.0000086)"
Quang Ngai,"(15.1209627, 108.7813826)"
Bologna,"(44.4938203, 11.3426327)"
"Johnstown, PA","(40.3267407, -78.9219698)"
Ivano,"(46.0571522, 11.5287031)"
"Frankovsk, Ukraine","(48.9224763, 24.710334)"
"Uzhgorod, Ukraine","(48.6223731, 22.3022572)"
Florencia,"(43.7697955, 11.2556404)"
Santa Rose,"(13.504923, -85.4608548)"
Chigorodó,"(7.6129384, -76.638426)"
Izmir,"(38.23166, 27.02997)"
Bishop,"(37.363679, -118.39524)"
Francistown,"(-21.16636, 27.502515)"
Malawi,"(-13.2687204, 33.9301963)"
"Bali, Indonesia","(-8.1153337, 115.1083287)"
"Sydney, Austrailia",
"Galveston, TX","(29.3872254, -94.992736)"
"Houston, TX","(29.7589382, -95.3676974)"
Nurnberg,"(49.453872, 11.077298)"
"Alameda, CA","(37.6090291, -121.899142)"
"Indianapolis, IN","(39.7683331, -86.1583502)"
Khmelnitsky,"(49.268624, 27.0635998)"
Thompson,"(55.743347, -97.863464)"
Rankin Inlet,"(62.8030269, -92.0868012)"
Battambang,"(12.9256791, 103.2317136)"
"Umiat, AK","(69.3669444, -152.1441667)"
Local,"(38.373665, -90.6229046)"
LaTuque,"(44.227238, 0.7191383)"
St. Honore,"(49.7840759, 1.1562009)"
"Bamako, Mali","(12.5222192, -7.949552)"
Tumaco,"(1.8061434, -78.7635572)"
Kisangani,"(0.5184021, 25.2057292)"
bang,"(7.4763908, 15.541458)"
Bandar Lampung,"(-5.4460713, 105.2643742)"
"Charleston, SC","(32.7884363, -79.9399309)"
Roxas City,"(11.6034823, 122.7071181)"
Calapan,"(13.4145513, 121.179543)"
Bettles,"(66.9076995, -151.5343514)"
"Gallup, NM","(35.5283506, -108.743907)"
"Rapid City, SD","(44.0806041, -103.228023)"
Soddu,"(8.9, 36.93333)"
Beica,"(46.7337378, 24.7956836)"
"New York City, NY","(40.7127281, -74.0060152)"
"Buffalo, NY","(42.8867166, -78.8783922)"
Kazachinskoye,"(57.694408, 93.281029)"
Kodiac,"(45.9354136, -74.1508567)"
Ciudad Bolivar,"(8.1028532, -63.5469562)"
Maturin,"(9.7422774, -63.1888854)"
Ontario,"(50.000678, -86.000977)"
Sam Neua,"(20.4151514, 104.047364)"
au,"(-24.7761086, 134.755)"
Prince,"(46.5855648, -63.9578476)"
"Lawton, OK","(34.6086854, -98.3903305)"
"Huntsville, TX","(30.7235263, -95.5507771)"
Hohn,"(54.298156, 9.5063907)"
Happy Valley Camp,"(69.1484535, -148.8399227)"
El Palomar AB,"(38.5018334, -1.7057333)"
San Carlos de Bariloche,"(-41.1334781, -71.3101474)"
Terney,"(-17.3568079, 30.1924282)"
Amgu,"(45.841634, 137.679034)"
Japan,"(36.5748441, 139.2394179)"
Nakhom Phanom AB,"(17.4032326, 104.7853098)"
Utapao AB,
Legaspi,"(13.1388596, 123.7343104)"
Porto Nacional,"(-10.7019786, -48.4110952)"
Pedro Afonso,"(-8.9757351, -48.1733282)"
"Detroit, MI","(42.3315509, -83.0466403)"
"Peducah, KY",
Yerevan,"(40.1777112, 44.5126233)"
Batumi,"(41.6509502, 41.6360085)"
Bagdarin,"(54.443378, 113.590469)"
Gambell,"(63.7779847, -171.7279493)"
Bahar Dar,"(11.5949663, 37.3882251)"
Debra Marcos,"(33.136522, -117.2045895)"
Vologda,"(60.0391461, 43.1215213)"
Novgorod,"(58.5209862, 31.2757862)"
Tomonoco,
Tivat,"(42.4303762, 18.6988104)"
Uaxactun,"(18.8981153, -99.1299181)"
"Rostov, Russia","(47.2216548, 39.7096061)"
"Grandby, CO","(39.0713309, -108.4534999)"
"Deadhorse, AK","(70.1999496, -148.461816)"
Vnukovo,"(55.611698, 37.300255)"
Loja,"(37.1664839, -4.1496374)"
Guangzhou,"(23.1301964, 113.2592945)"
Changsha,"(28.1450774, 113.2384362)"
Chapecó,"(-27.1110472, -52.5958977)"
Erechim,"(-27.6350709, -52.2738654)"
"St. Thomas, VI","(18.3429081, -64.9188997)"
"St. Croix, VI","(17.729124, -64.7589156)"
Itaguasurenda,
"South Nanek, AK",
"Dillingham, AK","(59.0398598, -158.4604177)"
Puerto Asis,"(0.4979751, -76.4951418)"
"Terhan, Iran",
"McGuire AFB, New Jersey","(40.0171621, -74.5902049)"
Davao City,"(7.0648306, 125.6080623)"
Malabo,"(3.741877, 8.7740663)"
Labuan,"(5.3168336, 115.2198613)"
Kota Kinabalu,"(5.9780066, 116.0728988)"
Tel,"(1.3840003, 103.837402)"
Aviv,"(32.0852997, 34.7818064)"
"Seoul, Korea","(37.5666791, 126.9782914)"
Moron,"(47.2624109, 7.263426)"
Canary Islands,"(28.2935785, -16.6214471)"
Ho Chi Minh City,"(10.7763897, 106.7011391)"
Mildenhall RAF,"(52.3626963, 0.4854831)"
Praira da Vitoria,"(-8.0944493, -34.93421)"
Donetsk,"(48.0158753, 37.8013407)"
Koln,"(50.938361, 6.959974)"
Antalya,"(36.8865728, 30.7030242)"
Kenneth Ingalls Sawyer,"(44.0889585, -70.7986758)"
Oscoda,"(44.6789109, -84.1467693)"
Wurtsmith,"(29.3811479, -98.6213853)"
Djibouti City,"(15.3292123, 44.1922027)"
Bridgetown,"(13.0977832, -59.6184184)"
Viru,"(57.7365127, 26.7432746)"
Mumbai,"(19.054999, 72.8692035)"
Chennai,"(13.0836939, 80.270186)"
Petrolina,"(-9.3817334, -40.4968875)"
Manado,"(1.4900578, 124.8408708)"
Gorontalo,"(0.7186174, 122.4555927)"
Palu,"(-0.9051548, 119.8722373)"
Banjarmasin,"(-3.3187496, 114.5925828)"
Larisa,"(38.6671446, 27.0318507)"
Cap May,"(-33.819599, 19.8943919)"
Ust,"(29.9610777, -81.3405011)"
Kut,"(32.5010274, 45.8296334)"
Chernivtsi,"(48.3810791, 26.1081673)"
Tarapoto,"(-6.4877198, -76.3598708)"
"Mosses Lake, WA","(-1.9930654, 33.8619072)"
Bromma,"(59.339769, 17.9395411)"
Mineralnyye Vody,"(52.767075, 140.171509)"
Al Kari,"(14.3223734, -9.6026811)"
"Niamey, Nigher",
Toli Toli,"(0.9702508, 120.880323)"
Zhdanov,"(42.3172109, 23.2018619)"
Parnu,"(58.3835136, 24.5081751)"
Tapa,"(30.3030899, 75.3669298)"
"Varna, Bulgaria","(43.2052135, 27.8602025)"
"Luskaka, Zambia",
Pan Am building,"(34.6552971, 135.1402093)"
JFK Airport,"(40.6429479, -73.7793734)"
Carrasco,"(-16.9932247, -64.947181)"
Salto,"(-23.1989983, -47.2913682)"
Nueva Hesperides,"(-31.4399904, -57.9868083)"
Wake,"(19.2960859, 166.6269779)"
Agana,"(13.4738606, 144.7520557)"
"Saint Louis, MO","(38.6280278, -90.1910154)"
Jima,"(29.6269656, 81.9767873)"
Vitim,"(56.6015917, 115.4158334)"
Yoro,"(15.2994474, -87.2916981)"
Honduran,"(15.2572432, -86.0755145)"
Catalina Island,"(18.3588724, -69.0081006)"
Kailua Kona,"(19.641941, -155.996933)"
Mongasat,
Keng Tung,"(21.2918037, 99.6028652)"
Kirtland AFB,"(35.0011307, -106.5157255)"
Nellis AFB,"(36.2359175, -115.0325043)"
Greenville,"(34.851354, -82.3984882)"
Baton Rouge,"(30.4494155, -91.1869659)"
Palenque,"(17.453161, -91.8121241)"
San Cristobal de las Casas,"(16.735377, -92.63873)"
"Asmara, Ethiopia","(11.244962, 41.5444484)"
Buenos  Aires,"(-34.6083696, -58.4440583)"
Marsan,"(43.6560664, 0.7211294)"
Hyères,"(43.1202573, 6.1301614)"
Penang,"(5.4065013, 100.2559077)"
Tarko,"(49.1921246, 20.9605901)"
Sale,"(44.980656, 8.809348)"
Evansville,"(37.970495, -87.5715641)"
Genève,"(46.2017559, 6.1466014)"
"St Croix, VI","(17.729124, -64.7589156)"
"Vieques, PR","(18.1215622, -65.457464)"
Willemstad,"(12.1100069, -68.9370851)"
San Vincente,"(7.2739833, 125.451175)"
Artigas,"(43.0750389, 0.0024053)"
"Richland, WA","(46.2804298, -119.275205)"
Cranbrook,"(49.5107477, -115.7672772)"
Visalia,"(36.3302284, -119.292058)"
Abuja,"(9.0643305, 7.4892974)"
Warszawa,"(52.2337172, 21.0714322)"
"Santa Ana, CA","(33.7494951, -117.873221)"
"Lake Havasu, AZ","(34.4105067, -114.2908721)"
Yangon,"(16.7967129, 96.1609916)"
Myitkyina,"(25.3833313, 97.3999925)"
"St. John, VI","(18.3356013, -64.7550406)"
"Pensacola, FL","(30.421309, -87.2169149)"
Saint John's,"(17.1184569, -61.8448509)"
Saint Anthony,"(45.0283001, -93.2187368)"
Stratjford,
A,"(-25.1076701, -64.3494964)"
Papun,"(27.5170033, 87.6102676)"
"Las Vegas, NV","(36.1672719, -115.1483538)"
Conakry,"(9.5170602, -13.6998434)"
Victoria harbor,"(33.6527001, -117.9196452)"
Victoria Harbor Water Aerodome,"(44.6476818, -63.4976301)"
Kariba,"(-17.2239935, 27.600645)"
"Wrangell, AK","(56.4706022, -132.3829431)"
Return,"(34.6398213, -82.9954272)"
Morelia,"(19.6546004, -101.2623797)"
Laoag,"(18.1973235, 120.5935433)"
Paranaque,"(14.5008116, 120.9915327)"
Kuopio,"(62.8924601, 27.6781839)"
Kustanai,"(52.0615626, 62.9372689)"
"Kenai, AK","(60.5544444, -151.258333)"
t:	Simferopol,"(44.9521459, 34.1024858)"
Chandigarh,"(30.7334421, 76.7797143)"
Leh,"(34.1642029, 77.5848133)"
Hydaburg,"(55.2074734, -132.8276574)"
Steamboat Springs,"(40.4848003, -106.831735)"
Clarksburg,"(39.2806451, -80.3445341)"
Gulfport,"(30.3674198, -89.0928155)"
Quebec,"(52.4760892, -71.8258668)"
"San Pedro, CA","(33.7358518, -118.2922934)"
"Catalina, CA","(49.1580328, -123.1277725)"
"Flushing, NY","(40.7654301, -73.8174291)"
Bullen Point,"(70.1831824, -146.8563082)"
